step,train_loss,tps,peak_mem_gb
1,11.028757631778717,20923.815960057495,2.720954418182373
2,9.81987726688385,33678.048361839865,3.1044325828552246
3,9.322405576705933,33573.25343144335,3.1044325828552246
4,9.109261244535446,33986.11834833477,3.1044325828552246
5,8.914344161748886,33126.74837109713,3.1044325828552246
6,8.76904633641243,33845.86089279727,3.1044325828552246
7,8.632662236690521,33244.240349657375,3.1044325828552246
8,8.47260496020317,33989.02853106877,3.1044325828552246
9,8.346470981836319,33836.64914963353,3.1044325828552246
10,8.231964185833931,33091.269353703494,3.1044325828552246
11,8.149382919073105,33383.22074069828,3.1044325828552246
12,8.094534441828728,33243.28950030498,3.1044325828552246
13,7.9815129190683365,33381.132903169084,3.1044325828552246
14,7.845000267028809,33347.406966298215,3.1044325828552246
15,7.790505468845367,34153.97560733016,3.1044325828552246
16,7.740997150540352,34009.37800694471,3.1044325828552246
17,7.605356350541115,33912.40826863056,3.1044325828552246
18,7.568466022610664,33954.803986532854,3.1044325828552246
19,7.533356338739395,33453.93950204269,3.1044325828552246
20,7.4570359736680984,33717.68618761543,3.1044325828552246
21,7.352656736969948,33671.55698193098,3.1044325828552246
22,7.278342425823212,34413.556869248896,3.1044325828552246
23,7.221165373921394,34176.62853645879,3.1044325828552246
24,7.192617505788803,33786.9606934738,3.1044325828552246
25,7.136743724346161,33711.02654941383,3.1044325828552246
26,7.092474535107613,34130.39279417092,3.1044325828552246
27,7.040427714586258,34202.21791575039,3.1044325828552246
28,6.989077687263489,33146.367922300306,3.1044325828552246
29,6.978788688778877,34345.695271845725,3.1044325828552246
30,6.891991049051285,33747.97200547083,3.1044325828552246
31,6.878458470106125,31187.66971929125,3.1044325828552246
32,6.8427175879478455,33319.370188318666,3.1044325828552246
33,6.789296954870224,33648.73224351154,3.1044325828552246
34,6.798929080367088,33680.96792643897,3.1044325828552246
35,6.779228761792183,34014.08931822874,3.1044325828552246
36,6.815722405910492,33363.121459351525,3.1044325828552246
37,6.802331626415253,33936.55587928949,3.1044325828552246
38,6.751183837652206,33501.82979227257,3.1044325828552246
39,6.678607702255249,33085.683152581194,3.1044325828552246
40,6.66784705221653,33473.42076463871,3.1044325828552246
41,6.730822116136551,33275.81609403007,3.1044325828552246
42,6.607636332511902,33291.04989129581,3.1044325828552246
43,6.621370226144791,34063.87234674828,3.1044325828552246
44,6.586127460002899,33302.091015302925,3.1044325828552246
45,6.605736821889877,32925.50146628479,3.1044325828552246
46,6.603686228394508,33696.17434862873,3.1044325828552246
47,6.613891571760178,33120.751100684756,3.1044325828552246
48,6.52652333676815,33180.00463929718,3.1044325828552246
49,6.542818859219551,33172.55482920312,3.1044325828552246
50,6.503281846642494,33442.37025869308,3.1044325828552246
51,6.5064956694841385,33626.35389450226,3.1044325828552246
52,6.453674882650375,34317.34572186296,3.1044325828552246
53,6.499280467629433,33105.99170188049,3.1044325828552246
54,6.499521017074585,34251.67006747835,3.1044325828552246
55,6.457272380590439,33691.810852282564,3.1044325828552246
56,6.456708118319511,33147.76092863638,3.1044325828552246
57,6.426674023270607,33099.597389605806,3.1044325828552246
58,6.3510434329509735,33360.95920575845,3.1044325828552246
59,6.464627802371979,33695.203667225214,3.1044325828552246
60,6.417052179574966,32973.83964429056,3.1044325828552246
61,6.346815899014473,33922.655552041804,3.1044325828552246
62,6.351833358407021,33990.09397167714,3.1044325828552246
63,6.337590396404266,33370.16894978527,3.1044325828552246
64,6.351391702890396,33158.499200253806,3.1044325828552246
65,6.340709015727043,31911.790873550715,3.1044325828552246
66,6.350212261080742,33838.70896168181,3.1044325828552246
67,6.266474336385727,33146.87154952856,3.1044325828552246
68,6.3555727899074554,30185.265226870823,3.1044325828552246
69,6.322153672575951,33567.26352902113,3.1044325828552246
70,6.286769881844521,33704.867537623526,3.1044325828552246
71,6.227851584553719,34127.42869494492,3.1044325828552246
72,6.326306462287903,32862.85386003089,3.1044325828552246
73,6.2716537564992905,34892.966134029084,3.1044325828552246
74,6.263097897171974,32333.371614699445,3.1044325828552246
75,6.279492363333702,33585.64180202856,3.1044325828552246
76,6.181706607341766,33656.020429830125,3.1044325828552246
77,6.214115962386131,34005.46097420548,3.1044325828552246
78,6.1822080463171005,33575.64014818687,3.1044325828552246
79,6.190507471561432,33563.35546047277,3.1044325828552246
80,6.129538357257843,32777.60242247024,3.1044325828552246
