step,train_loss,tps,peak_mem_gb
1,10.939070761203766,103563.00320076467,2.9708762168884277
2,10.019289016723633,158950.89008318848,3.586413860321045
3,9.639274597167969,156286.3886550501,3.586413860321045
4,9.438405871391296,156087.7744568998,3.586413860321045
5,9.290597438812256,154539.30735301352,3.586413860321045
6,9.114168286323547,155521.8701149393,3.586413860321045
7,8.992615759372711,156058.57517912838,3.586413860321045
8,8.83148580789566,154611.1500776774,3.586413860321045
9,8.716193675994873,155625.54974742077,3.586413860321045
10,8.608352184295654,156642.1001324926,3.586413860321045
11,8.528645992279053,155160.05486864384,3.586413860321045
12,8.476386725902557,156382.50454222725,3.586413860321045
13,8.383866846561432,155559.4957882659,3.586413860321045
14,8.266357898712158,156175.79282005187,3.586413860321045
15,8.209917604923248,155569.97260695728,3.586413860321045
16,8.164073050022125,155939.1447755195,3.586413860321045
17,8.035954266786575,154767.71403339118,3.586413860321045
18,7.999852746725082,156524.1371726303,3.586413860321045
19,7.981516987085342,157186.66827773553,3.586413860321045
20,7.898017197847366,156451.6191505571,3.586413860321045
21,7.799171596765518,154928.17549041047,3.586413860321045
22,7.715215265750885,156010.30292439248,3.586413860321045
23,7.675150007009506,155926.76068820906,3.586413860321045
24,7.640970319509506,156344.30188649197,3.586413860321045
25,7.5671199560165405,156058.92958133502,3.586413860321045
26,7.515495538711548,155936.18126130686,3.586413860321045
27,7.476355850696564,155877.90696476956,3.586413860321045
28,7.414838075637817,156082.54525508403,3.586413860321045
29,7.38959527015686,156079.13316823237,3.586413860321045
30,7.296698421239853,156178.7210803959,3.586413860321045
31,7.27080175280571,156115.03402064872,3.586413860321045
32,7.22886523604393,155962.67996172394,3.586413860321045
33,7.141300022602081,156211.6493837839,3.586413860321045
34,7.152605473995209,156366.44736856327,3.586413860321045
35,7.118163377046585,155233.2211923649,3.586413860321045
36,7.13031730055809,156119.91071881418,3.586413860321045
37,7.098672777414322,155894.52705772928,3.586413860321045
38,7.044495701789856,155623.74352685674,3.586413860321045
39,6.977504938840866,155963.87460608722,3.586413860321045
40,6.939202547073364,156924.32542178585,3.586413860321045
41,6.994196951389313,157123.2793469457,3.586413860321045
42,6.875061988830566,156167.36359269483,3.586413860321045
43,6.862627178430557,155796.18415693546,3.586413860321045
44,6.844503879547119,155635.19831861975,3.586413860321045
45,6.84482803940773,154900.5431782635,3.586413860321045
46,6.815280854701996,156653.16967146922,3.586413860321045
47,6.83800795674324,156078.95592104347,3.586413860321045
48,6.7195083796978,154609.6716960565,3.586413860321045
49,6.768914133310318,156072.75252304302,3.586413860321045
50,6.6995881497859955,154119.67238330832,3.586413860321045
51,6.7095246613025665,156007.77941712306,3.586413860321045
52,6.660889029502869,156221.41516151518,3.586413860321045
53,6.695022344589233,156057.95497914,3.586413860321045
54,6.69652247428894,155990.64828942704,3.586413860321045
55,6.660011142492294,155394.86949032434,3.586413860321045
56,6.649047017097473,156283.54521187532,3.586413860321045
57,6.618677794933319,155516.28282476251,3.586413860321045
58,6.550117343664169,156038.77551316985,3.586413860321045
59,6.660432308912277,155480.8766590815,3.586413860321045
60,6.612504541873932,156759.25764847346,3.586413860321045
61,6.541904896497726,156220.926843629,3.586413860321045
62,6.552143067121506,156155.20936165788,3.586413860321045
63,6.516951322555542,156158.4917047271,3.586413860321045
64,6.546875089406967,155382.3081944046,3.586413860321045
