step,train_loss,tps,peak_mem_gb,val_ppl
1,10.936048179864883,69913.0942550802,4.647468566894531,
2,10.000939220190048,87429.19286540801,5.254854202270508,
3,9.641924142837524,86931.50816594089,5.254854202270508,
4,9.412250608205795,87261.33169272654,5.254854202270508,
5,9.256336569786072,86727.53971960995,5.254854202270508,
6,9.090149611234665,87362.12922148492,5.254854202270508,
7,8.968825548887253,86919.19326054913,5.254854202270508,
8,8.83136436343193,87333.16545547954,5.254854202270508,
9,8.721606612205505,86731.98654268264,5.254854202270508,
10,8.649915844202042,86957.49636680474,5.254854202270508,
11,8.541543364524841,86953.19142722565,5.254854202270508,
12,8.428648084402084,86838.0654070502,5.254854202270508,
13,8.340498477220535,87154.7971550819,5.254854202270508,
14,8.28954342007637,87186.42184967746,5.254854202270508,
15,8.219483405351639,87876.34396842975,5.254854202270508,
16,8.149251133203506,86823.98061480677,5.254854202270508,
17,8.064898774027824,87348.63723870958,5.254854202270508,
18,7.9990574568510056,87270.08625606321,5.254854202270508,
19,7.939322769641876,87021.99767595551,5.254854202270508,
20,7.895219787955284,87555.87572755416,5.254854202270508,
21,7.816676080226898,87237.84711298543,5.254854202270508,
22,7.746489837765694,87518.56239732896,5.254854202270508,
23,7.683224409818649,87064.98279275221,5.254854202270508,
24,7.626978129148483,87480.29249981581,5.254854202270508,
25,7.561557963490486,87396.83608326418,5.254854202270508,
26,7.533812552690506,86966.69908875367,5.254854202270508,
27,7.462126657366753,87338.40998400521,5.254854202270508,
28,7.418366029858589,87495.5936567758,5.254854202270508,
29,7.369438499212265,87018.016913686,5.254854202270508,
30,7.3410563468933105,87378.83340485686,5.254854202270508,
31,7.300134569406509,87093.0790429257,5.254854202270508,
32,7.243773430585861,87373.98672883041,5.254854202270508,
33,7.235993877053261,87174.85018896802,5.254854202270508,
34,7.161607027053833,87220.8785120807,5.254854202270508,
35,7.132410541176796,87524.49806492904,5.254854202270508,
36,7.104685008525848,87653.97302087872,5.254854202270508,
37,7.067513659596443,87201.68952783421,5.254854202270508,
38,6.994053319096565,87486.47357856871,5.254854202270508,
39,6.975345879793167,87224.40732661408,5.254854202270508,
40,6.95003467798233,87287.25417731977,5.254854202270508,
41,6.934377104043961,87338.59036259231,5.254854202270508,
42,6.922492727637291,87631.39411713042,5.254854202270508,
43,6.874480679631233,87605.08537369886,5.254854202270508,
44,6.842343166470528,87496.19244597934,5.254854202270508,
45,6.808449923992157,87297.46945422787,5.254854202270508,
46,6.807823419570923,87624.31266255553,5.254854202270508,
47,6.797656163573265,87611.5354188297,5.254854202270508,
48,6.7709613889455795,87360.03297129027,5.254854202270508,
49,6.753838494420052,87373.66733926594,5.254854202270508,
50,6.7346256375312805,87577.28566142016,5.254854202270508,
51,6.753235280513763,87575.31857931157,5.254854202270508,
52,6.683644667267799,87589.38306626356,5.254854202270508,
53,6.675701752305031,87291.63384043719,5.254854202270508,
54,6.6403582245111465,87499.50682282027,5.254854202270508,
55,6.661956965923309,87153.0700682664,5.254854202270508,
56,6.640381619334221,87570.10135692001,5.254854202270508,
57,6.63106732070446,87459.91783197787,5.254854202270508,
58,6.631667882204056,87451.26425400765,5.254854202270508,
59,6.651627063751221,87544.38702506378,5.254854202270508,
60,6.579014495015144,87600.12981540669,5.254854202270508,
61,6.620013326406479,87530.51815576303,5.254854202270508,
62,6.560787558555603,87518.9943084202,5.254854202270508,
63,6.55131022632122,87461.81016079917,5.254854202270508,
64,6.517219305038452,87377.86124907935,5.254854202270508,
65,6.541295126080513,87319.33568564928,5.254854202270508,
66,6.542061477899551,87318.79479069283,5.254854202270508,
67,6.47448767721653,87419.69739158919,5.254854202270508,
68,6.49602672457695,87382.66668701202,5.254854202270508,
69,6.509544804692268,87499.59038178386,5.254854202270508,
70,6.4755697548389435,87411.9551717756,5.254854202270508,
71,6.460891202092171,87451.11123186492,5.254854202270508,
72,6.427860826253891,87262.20429981056,5.254854202270508,
73,6.407776206731796,87611.77277627018,5.254854202270508,
74,6.414472073316574,87544.67978222585,5.254854202270508,
75,6.409170791506767,87452.04328412793,5.254854202270508,
76,6.408911496400833,87377.29185359806,5.254854202270508,
77,6.382616892457008,87629.60618627394,5.254854202270508,
78,6.364304348826408,87627.90213258316,5.254854202270508,
79,6.361981555819511,87278.31603894151,5.254854202270508,
80,6.385870516300201,87512.50215901685,5.254854202270508,
81,6.352560952305794,87628.3490910737,5.254854202270508,
82,6.331339716911316,87519.57948508624,5.254854202270508,
83,6.343658268451691,87510.35689649134,5.254854202270508,
84,6.312701225280762,87601.94446183098,5.254854202270508,
85,6.290357634425163,87542.70022432032,5.254854202270508,
86,6.3109967559576035,87600.6602427393,5.254854202270508,
87,6.294961869716644,87142.46034889585,5.254854202270508,
88,6.229613840579987,87681.96129402693,5.254854202270508,
89,6.278217896819115,87609.41322122421,5.254854202270508,
90,6.232678696513176,87751.53400158406,5.254854202270508,
91,6.270031854510307,87570.56167506735,5.254854202270508,
92,6.279642939567566,87609.07814679,5.254854202270508,
93,6.257714956998825,87495.5379558712,5.254854202270508,
94,6.250471502542496,87547.27285970878,5.254854202270508,
95,6.234834998846054,87590.27620208118,5.254854202270508,
96,6.216163665056229,87490.76186706733,5.254854202270508,
97,6.1943292915821075,87675.72459699496,5.254854202270508,
98,6.1901081800460815,87370.29306173578,5.254854202270508,
99,6.180590823292732,87262.07964058721,5.254854202270508,
100,6.175748631358147,87582.07120175828,5.254854202270508,
101,6.168326020240784,87177.0619774387,5.254854202270508,
102,6.1764912605285645,87460.14045464792,5.254854202270508,
103,6.177203714847565,87342.91967221371,5.254854202270508,
104,6.153319776058197,87646.59447565251,5.254854202270508,
