step,train_loss,tps,peak_mem_gb
1,10.940288037061691,15900.516139843814,1.6079072952270508
2,10.008564800024033,20536.675420595817,1.6079072952270508
3,9.654985219240189,21194.502753039447,1.6079072952270508
4,9.448353797197342,21720.896050995187,1.6079072952270508
5,9.303329557180405,21677.19051314444,1.6079072952270508
6,9.147980839014053,22079.329716310822,1.6079072952270508
7,9.038713991641998,22131.528198891876,1.6079072952270508
8,8.911353409290314,21179.84753475731,1.6079072952270508
9,8.787144362926483,21536.13454420169,1.6079072952270508
10,8.696597307920456,21836.03260733612,1.6079072952270508
11,8.583588927984238,21553.166242802014,1.6079072952270508
12,8.520841389894485,21409.663290524713,1.6079072952270508
13,8.429583996534348,21359.43545513008,1.6079072952270508
14,8.341932952404022,21409.262251362135,1.6079072952270508
15,8.270895600318909,21446.322086841024,1.6079072952270508
16,8.250777274370193,21653.991966739504,1.6079072952270508
17,8.15122638642788,21603.22291480608,1.6079072952270508
18,8.08312439918518,21904.65544761725,1.6079072952270508
19,8.048356965184212,21603.543811700354,1.6079072952270508
20,7.9947487860918045,21379.79992872309,1.6079072952270508
21,7.8779472559690475,21508.275126485707,1.6079072952270508
22,7.837583422660828,21833.114477145828,1.6079072952270508
23,7.804508626461029,21337.35307948795,1.6079072952270508
24,7.768424287438393,21973.41586089334,1.6079072952270508
25,7.684024959802628,21726.503223491327,1.6079072952270508
26,7.623942270874977,21441.989195223865,1.6079072952270508
27,7.620818302035332,21603.07690138566,1.6079072952270508
28,7.536362811923027,21479.517504537416,1.6079072952270508
29,7.540518343448639,21812.98547070159,1.6079072952270508
30,7.456181913614273,21715.999440031374,1.6079072952270508
31,7.420991018414497,21727.420287018656,1.6079072952270508
32,7.417666122317314,21599.972036749936,1.6079072952270508
33,7.351903185248375,21808.023898881973,1.6079072952270508
34,7.331664323806763,21397.16727028939,1.6079072952270508
35,7.275213867425919,21645.136354373142,1.6079072952270508
36,7.284242242574692,21664.11227467542,1.6079072952270508
37,7.264335587620735,21686.639553479672,1.6079072952270508
38,7.181093364953995,21459.98968791552,1.6079072952270508
39,7.169176757335663,21578.91089289547,1.6079072952270508
40,7.144475430250168,21628.980138294963,1.6079072952270508
41,7.158700630068779,21449.659941643495,1.6079072952270508
42,7.056933969259262,21782.35483043126,1.6079072952270508
43,7.082857504487038,21521.451439408742,1.6079072952270508
44,7.049579828977585,21686.13568186209,1.6079072952270508
45,7.0442657470703125,21760.197672255425,1.6079072952270508
46,6.9897555857896805,21460.439542940996,1.6079072952270508
47,7.004543766379356,21655.223647072944,1.6079072952270508
48,6.932038232684135,21470.0895773825,1.6079072952270508
49,6.936029449105263,21622.138991106523,1.6079072952270508
50,6.872280523180962,21677.72730578884,1.6079072952270508
51,6.917260840535164,21928.907051216847,1.6079072952270508
52,6.890057370066643,21468.526745811116,1.6079072952270508
53,6.877485275268555,21530.030732222433,1.6079072952270508
54,6.862935826182365,21336.327873736227,1.6079072952270508
55,6.862679556012154,21809.41851797811,1.6079072952270508
56,6.86476232111454,21435.870087406736,1.6079072952270508
57,6.823628515005112,21327.174951706438,1.6079072952270508
58,6.779618486762047,21820.93006897524,1.6079072952270508
59,6.809318542480469,21268.84933581152,1.6079072952270508
60,6.763548597693443,21855.602046911026,1.6079072952270508
61,6.724449962377548,22178.367208879485,1.6079072952270508
62,6.76311719417572,21526.84230379377,1.6079072952270508
63,6.730207934975624,21259.94329844561,1.6079072952270508
64,6.76137113571167,21330.932675438326,1.6079072952270508
65,6.695295989513397,21106.4125071189,1.6079072952270508
66,6.714236408472061,21175.18201269835,1.6079072952270508
67,6.6816519647836685,21117.124759882874,1.6079072952270508
68,6.688635677099228,20306.636906618456,1.6079072952270508
69,6.652364820241928,21130.55941206661,1.6079072952270508
70,6.687822237610817,20887.35434574526,1.6079072952270508
71,6.606950744986534,20998.327824604265,1.6079072952270508
