step,train_loss,tps,peak_mem_gb,val_ppl
1,10.936048179864883,55648.6236677496,3.4483642578125,
2,10.000926315784454,71161.64660004963,4.060693740844727,
3,9.641921132802963,70810.0824618644,4.060693740844727,
4,9.412281155586243,71411.86471235125,4.060693740844727,
5,9.256322830915451,71134.54799121266,4.060693740844727,
6,9.090127915143967,71476.12318231868,4.060693740844727,
7,8.968858540058136,71478.5673035592,4.060693740844727,
8,8.831382364034653,71366.71809360514,4.060693740844727,
9,8.721556663513184,71099.54281931957,4.060693740844727,
10,8.649949342012405,71546.4747043753,4.060693740844727,
11,8.541541010141373,71679.09772101343,4.060693740844727,
12,8.428649425506592,71563.42514199934,4.060693740844727,
13,8.340490937232971,71573.02153143685,4.060693740844727,
14,8.289534866809845,73085.99007742712,4.060693740844727,
15,8.219499975442886,71587.84042936364,4.060693740844727,
16,8.14923706650734,71505.10095385951,4.060693740844727,
17,8.06491194665432,71615.81733242076,4.060693740844727,
18,7.999050632119179,71587.74720957234,4.060693740844727,
19,7.939344346523285,71107.61717020933,4.060693740844727,
20,7.895224526524544,71528.90874360915,4.060693740844727,
21,7.8166730254888535,71439.96415083698,4.060693740844727,
22,7.746510609984398,71553.17009899157,4.060693740844727,
23,7.6832244992256165,70921.88495127695,4.060693740844727,
24,7.626972556114197,71555.43322084162,4.060693740844727,
25,7.561553120613098,71474.1531378154,4.060693740844727,
26,7.533814415335655,71495.15085128724,4.060693740844727,
27,7.462123885750771,71286.40205520511,4.060693740844727,
28,7.418354868888855,71176.62736895256,4.060693740844727,
29,7.369455069303513,71375.51117996786,4.060693740844727,
30,7.341051489114761,71511.29559380609,4.060693740844727,
31,7.300159454345703,71309.00995059853,4.060693740844727,
32,7.243747428059578,71530.10932157256,4.060693740844727,
33,7.236003875732422,71333.8257840734,4.060693740844727,
34,7.161601677536964,71636.69301261978,4.060693740844727,
35,7.1324064284563065,71594.9911108547,4.060693740844727,
36,7.10470549762249,71622.93627977662,4.060693740844727,
37,7.067487254738808,71402.7751764367,4.060693740844727,
38,6.994057387113571,71449.97318630108,4.060693740844727,
39,6.9753416031599045,71777.57840848825,4.060693740844727,
40,6.950036481022835,71503.86401468067,4.060693740844727,
41,6.93437235057354,71264.67685365923,4.060693740844727,
42,6.922494351863861,71286.12474674081,4.060693740844727,
43,6.874478742480278,71646.82261437827,4.060693740844727,
44,6.8423606008291245,71483.99515149246,4.060693740844727,
45,6.808444306254387,72281.16740023003,4.060693740844727,
46,6.807852178812027,71738.67978058048,4.060693740844727,
47,6.797704413533211,71398.9823707744,4.060693740844727,
48,6.7709875255823135,71705.11644839933,4.060693740844727,
49,6.753900662064552,71380.16340437776,4.060693740844727,
50,6.734693303704262,71702.59134637457,4.060693740844727,
51,6.753281727433205,71430.58902723416,4.060693740844727,
52,6.683662414550781,71595.10299727335,4.060693740844727,
53,6.675717294216156,71510.14215610652,4.060693740844727,
54,6.6403516083955765,71611.11568456376,4.060693740844727,
55,6.661971107125282,71645.60877832203,4.060693740844727,
56,6.64042042195797,71276.53120245445,4.060693740844727,
57,6.63107094168663,71573.64585174732,4.060693740844727,
58,6.631651312112808,71334.14048790868,4.060693740844727,
59,6.651655912399292,71352.87036524367,4.060693740844727,
60,6.579051718115807,71399.53874736337,4.060693740844727,
61,6.620067462325096,71238.56131220107,4.060693740844727,
62,6.560827240347862,71329.29990957915,4.060693740844727,
63,6.551350086927414,70946.80741297574,4.060693740844727,
64,6.517236799001694,70918.06072508387,4.060693740844727,
65,6.541339784860611,70634.075147694,4.060693740844727,
66,6.542091205716133,70930.09287686189,4.060693740844727,
67,6.474529922008514,70973.94639990643,4.060693740844727,
68,6.496066063642502,71060.5395642416,4.060693740844727,
69,6.509589463472366,71161.47158528866,4.060693740844727,
70,6.475621148943901,70580.18207607148,4.060693740844727,
71,6.461000591516495,71062.31234616255,4.060693740844727,
72,6.427939876914024,71027.39656795631,4.060693740844727,
73,6.407683551311493,71030.86549344772,4.060693740844727,
74,6.414198189973831,70528.3798051962,4.060693740844727,
75,6.40934282541275,70856.56384395661,4.060693740844727,
76,6.409356355667114,70948.16249596544,4.060693740844727,
77,6.382521837949753,71040.58579570301,4.060693740844727,
78,6.364595055580139,70820.93756371079,4.060693740844727,
